ID,NAME1,XCOOR,YCOOR
23576,Pachyptera kerere,-88.7666667,17.25
23577,Pachyptera kerere,-88.5499999999999,17.05
23578,Pachyptera kerere,-88.5499999999999,17.05
23579,Pachyptera kerere,-88.5832999999998,16.75
23580,Pachyptera kerere,-88.8499999999999,16.3333333333
23581,Pachyptera kerere,-88.8333333333,16.1999999999999
23582,Pachyptera kerere,-88.75,16.5333
23583,Pachyptera kerere,-88.8666,16.2666
23584,Pachyptera kerere,-66.0999999999998,-11.0333333333
23585,Pachyptera kerere,-66.0333333333,-11.75
23586,Pachyptera kerere,-67.5833333333,-14.5833333333
25488,Tanaecium affine,-68.7666666667,-13.5833333333
25489,Tanaecium affine,-68.2,-13.8666666667
25490,Tanaecium affine,-70.25,-3.783
25491,Tanaecium affine,-70.25,-3.783
25492,Tanaecium affine,-70.2999999999999,-3.8
25493,Tanaecium affine,-70.25,-3.783
25494,Tanaecium affine,-70,-3.033
25495,Tanaecium affine,-70.3329999999999,-3.183
25496,Tanaecium affine,-73.798,2.188
25497,Tanaecium affine,-77.0829999999999,-0.333
25827,Tanaecium dichotomum,-38.5829999999997,-3.75
25828,Tanaecium dichotomum,-38.8329999999997,-4.133
25829,Tanaecium dichotomum,-38.767,-4.233
25830,Tanaecium dichotomum,-47.95,-15.7829999999999
25831,Tanaecium dichotomum,-47.95,-15.7829999999999
25832,Tanaecium dichotomum,-47.517,-14.117
25833,Tanaecium dichotomum,-51.7999999999997,-16.983
25834,Tanaecium dichotomum,-48.75,-17.8
25835,Tanaecium dichotomum,-48.1499999999998,-17.7199999999998
25836,Tanaecium dichotomum,-48.616,-3.416
25837,Tanaecium dichotomum,-47.9829999999997,-15.666
25838,Tanaecium dichotomum,-47.9829999999997,-15.666
